ADM2_FR,ADM3_FR,Targeting_type,Geographical Targeting,Geogaphical Tagering PVs,Community validation,community validation PVs,Plan,Achieve
Logone-et-Chari,Blangoua,Seasonal,Completed,Received,Completed,Received,8398,3396
Logone-et-Chari,Fotokol,Seasonal,Completed,Not received,Completed,Received,8398,3397
Logone-et-Chari,Goulfey,Seasonal,Completed,Not received,Completed,Received,3398,3399
Mayo-Danay,Kai-Kai,Seasonal,Completed,Not received,Ongoing,Not received,2014,2015
Mayo-Danay,Maga,Seasonal,Completed,Received,Completed,Not received,2014,2015
Mayo-Danay,Vele,Seasonal,Completed,Not received,Ongoing,Not received,2014,2015
Mayo-Sava,Kolofata,Seasonal,Completed,Received,Completed,Received,8120,3123
Mayo-Sava,Mora,Seasonal,Completed,Received,Ongoing,Received,8120,3118
Mayo-Tsanaga,Mayo-Moskota,Seasonal,Completed,Not received,Ongoing,Not received,8108,3393
Mayo-Tsanaga,Mokolo,Seasonal,Completed,Received,Completed,Received,8108,3110
